Bug ID,Summary,Severity,Reporter,对应开发人员,状态
150,动态开启JABOL后，已打开的窗口无法自动支持多窗口,normal,hushaolong@emindsoft.com.cn,,
152,笔记本触摸屏被映射为屏幕，不符合PC用户的习惯，应改为鼠标,normal,hushaolong@emindsoft.com.cn,,
153,电源功能支持不稳定：关机/重启等,normal,hushaolong@emindsoft.com.cn,,
181,在添加launcher后，需要添加快速启动栏,normal,hushaolong@emindsoft.com.cn,,
183,在添加launcher后，需要添加任务栏,normal,hushaolong@emindsoft.com.cn,,
184,参考Remix和Phoenix，将安卓原生的两个通知栏整合成一个，放置在屏幕下方右下角,normal,hushaolong@emindsoft.com.cn,,
186,安卓输入法目前占据屏幕下方很大一块，为手机的默认形式，需要改为PC上的设计,normal,hushaolong@emindsoft.com.cn,,
252,20160408版本-更换startmenu图标后，弹出框的最左侧图标正确，文字仍为乱码。需修改,normal,liumingming@emindsoft.com.cn,,
259,20160409版本-主菜单laucher显示不全，被任务栏遮挡,normal,liumingming@emindsoft.com.cn,,
177,启多个应用 时，不支持键盘快捷键tab+alt切换（显示近期任务）,normal,liumingming@emindsoft.com.cn,,
169,窗口拖动到屏幕边缘无对应变化,normal,wangjinzhao@emindsoft.com.cn,,
170,不支持鼠标左键双击打开应用，及右键点击。,normal,wangjinzhao@emindsoft.com.cn,,
173,不支持鼠标左键点击，划片选中,normal,wangjinzhao@emindsoft.com.cn,,
174,不支持鼠标右键单击操作列表,normal,wangjinzhao@emindsoft.com.cn,,
185,左下角和右下角的拖动指示按钮很大，对比remix/phoenix边缘没有粗框和指示按钮,normal,zhangxiaozhao@emindsoft.com.cn,,
171,去除手机相关组件：拨号、短信、联系人,normal,zhangxiaozhao@emindsoft.com.cn,,
176,窗口边缘无法拖动改变窗口大小,normal,zhangxiaozhao@emindsoft.com.cn,,
235,20160407版本，设置更改语言时，startmenu弹出项跑到最左顶显示，且整个背景是startmenu上的黑背景（出现一次。再次更改语言未复现）打开新安装的消消乐时，也存在此问题,minor,liumingming@emindsoft.com.cn,,
236,20160407版本，不打开窗口，未进行窗口缩放时鼠标变为“左右箭头缩放”图标。,minor,liumingming@emindsoft.com.cn,,
149,4.4版本关机键，按下后无相应重启 关机按钮出现，直接黑屏,minor,wangjinzhao@emindsoft.com.cn,,
151,计算器Calculator内按键显示不能随窗口大小变化而变化,minor,wangjinzhao@emindsoft.com.cn,,
154,点击download，窗口显示不正常,minor,wangjinzhao@emindsoft.com.cn,,
156,相册Gallery中启动camera，camera窗口未显示在顶级,minor,wangjinzhao@emindsoft.com.cn,,
172,鼠标左右键点击应用，都是窗口打开操作；,minor,wangjinzhao@emindsoft.com.cn,,
187,实现 Shift+鼠标左键拖动 可以区域选择文字进行复制,enhancement,hushaolong@emindsoft.com.cn,,
155,开启多窗口后，Terminal emulator 获取权限窗口无法置于前台,enhancement,hushaolong@emindsoft.com.cn,,
165,multiwin下设置-所有设置项居中显示，但显示不全，需修改,enhancement,liumingming@emindsoft.com.cn,,
251,20160408版本-最大化窗口未顶端显示，离顶端有一段距离。,enhancement,liumingming@emindsoft.com.cn,,
241,20160407版本-使用adb 命令安装豌豆荚，豌豆荚无边框及最顶端的tobar（最大、小、关闭）按钮。,enhancement,liumingming@emindsoft.com.cn,,
178,分辨率不同，应用打开窗口显示不同（分辨率低时显示不完全）,enhancement,liumingming@emindsoft.com.cn,,
167,应用打开窗口显示在屏幕左侧，且窗口大小不合理,enhancement,wangjinzhao@emindsoft.com.cn,,
157,clock内容，无法跟随窗口变化而变化大小,enhancement,wangjinzhao@emindsoft.com.cn,,
